,Tissue_plasma,506,142,Species_Oncorhynchus mykiss,Sex_male,Tissue_ovary,577,Tissue_blood ,4,Tissue_whole body,Tissue_liver,1292,1274,299,143,270,340,Sex_female,Mixture,141,Species_Danio rerio,236,372,Exposure Concentration (ug/L),1261,Tissue_gonad,247,Tissue_muscle,134,1576,Tissue_brain,Sex_both,553,367,Tissue_gill,Species_Cyprinus carpio,357
0,True,-0.208539272469327,0.0,False,False,False,1.5314516129032258,False,16.671824296562214,False,False,56.3926000175963,0.8300677204059526,0.8761842500000034,5.166666666666667,-22.01234567901235,0.0,True,1,0.0,True,-0.0212091796581899,0.1926476316279699,2.51,3.4613201402110083,False,-15.526748971193417,False,33.46913580246914,0.0,False,False,1.1570094842916416,0.0,False,False,-8.751714677640605
1,True,-0.208539272469327,0.0,False,False,False,1.5314516129032258,False,16.671824296562214,False,False,56.3926000175963,0.8300677204059526,0.8761842500000034,5.166666666666667,-22.01234567901235,0.0,True,1,0.0,True,-0.0212091796581899,0.1926476316279699,17.8,3.4613201402110083,False,-15.526748971193417,False,33.46913580246914,0.0,False,False,1.1570094842916416,0.0,False,False,-8.751714677640605
2,False,-0.208539272469327,0.0,False,False,False,1.5314516129032258,False,16.671824296562214,False,True,56.3926000175963,0.8300677204059526,0.8761842500000034,5.166666666666667,-22.01234567901235,0.0,True,1,0.0,True,-0.0212091796581899,0.1926476316279699,2.51,3.4613201402110083,False,-15.526748971193417,False,33.46913580246914,0.0,False,False,1.1570094842916416,0.0,False,False,-8.751714677640605
3,False,-0.208539272469327,0.0,False,False,False,1.5314516129032258,False,16.671824296562214,False,True,56.3926000175963,0.8300677204059526,0.8761842500000034,5.166666666666667,-22.01234567901235,0.0,True,1,0.0,True,-0.0212091796581899,0.1926476316279699,17.8,3.4613201402110083,False,-15.526748971193417,False,33.46913580246914,0.0,False,False,1.1570094842916416,0.0,False,False,-8.751714677640605
4,False,-0.208539272469327,0.0,False,False,False,1.5314516129032258,False,16.671824296562214,False,False,56.3926000175963,0.8300677204059526,0.8761842500000034,5.166666666666667,-22.01234567901235,0.0,True,1,0.0,True,-0.0212091796581899,0.1926476316279699,17.8,3.4613201402110083,False,-15.526748971193417,True,33.46913580246914,0.0,False,False,1.1570094842916416,0.0,False,False,-8.751714677640605
5,False,-0.208539272469327,0.0,False,False,True,1.5314516129032258,False,16.671824296562214,False,False,56.3926000175963,0.8300677204059526,0.8761842500000034,5.166666666666667,-22.01234567901235,0.0,True,1,0.0,True,-0.0212091796581899,0.1926476316279699,2.51,3.4613201402110083,False,-15.526748971193417,False,33.46913580246914,0.0,False,False,1.1570094842916416,0.0,False,False,-8.751714677640605
6,False,-0.208539272469327,0.0,False,False,True,1.5314516129032258,False,16.671824296562214,False,False,56.3926000175963,0.8300677204059526,0.8761842500000034,5.166666666666667,-22.01234567901235,0.0,True,1,0.0,True,-0.0212091796581899,0.1926476316279699,17.8,3.4613201402110083,False,-15.526748971193417,False,33.46913580246914,0.0,False,False,1.1570094842916416,0.0,False,False,-8.751714677640605
7,False,-0.208539272469327,0.0,False,False,False,1.5314516129032258,False,16.671824296562214,True,False,56.3926000175963,0.8300677204059526,0.8761842500000034,5.166666666666667,-22.01234567901235,0.0,True,1,0.0,True,-0.0212091796581899,0.1926476316279699,2.51,3.4613201402110083,False,-15.526748971193417,False,33.46913580246914,0.0,False,False,1.1570094842916416,0.0,False,False,-8.751714677640605
8,False,-0.208539272469327,0.0,False,False,False,1.5314516129032258,False,16.671824296562214,True,False,56.3926000175963,0.8300677204059526,0.8761842500000034,5.166666666666667,-22.01234567901235,0.0,True,1,0.0,True,-0.0212091796581899,0.1926476316279699,17.8,3.4613201402110083,False,-15.526748971193417,False,33.46913580246914,0.0,False,False,1.1570094842916416,0.0,False,False,-8.751714677640605
9,True,-0.2284405406678447,29.75,False,False,False,1.528364849833148,False,22.98041837751344,False,False,63.42446513843507,0.8477369635018085,0.8367620156250024,5.375,-21.006944444444436,-31.36216376410966,True,1,29.238095238095237,True,-0.0174917289375721,0.0980553739664304,0.69,3.8868421881310113,False,-1.6921296296296289,False,34.601851851851855,0.0,False,False,1.1781422849513634,0.546875,False,False,-0.747905643738977
10,True,-0.2284405406678447,29.75,False,False,False,1.528364849833148,False,22.98041837751344,False,False,63.42446513843507,0.8477369635018085,0.8367620156250024,5.375,-21.006944444444436,-31.36216376410966,True,1,29.238095238095237,True,-0.0174917289375721,0.0980553739664304,8.59,3.8868421881310113,False,-1.6921296296296289,False,34.601851851851855,0.0,False,False,1.1781422849513634,0.546875,False,False,-0.747905643738977
11,False,-0.2284405406678447,29.75,False,False,False,1.528364849833148,False,22.98041837751344,False,True,63.42446513843507,0.8477369635018085,0.8367620156250024,5.375,-21.006944444444436,-31.36216376410966,True,1,29.238095238095237,True,-0.0174917289375721,0.0980553739664304,0.69,3.8868421881310113,False,-1.6921296296296289,False,34.601851851851855,0.0,False,False,1.1781422849513634,0.546875,False,False,-0.747905643738977
12,False,-0.2284405406678447,29.75,False,False,False,1.528364849833148,False,22.98041837751344,False,True,63.42446513843507,0.8477369635018085,0.8367620156250024,5.375,-21.006944444444436,-31.36216376410966,True,1,29.238095238095237,True,-0.0174917289375721,0.0980553739664304,8.59,3.8868421881310113,False,-1.6921296296296289,False,34.601851851851855,0.0,False,False,1.1781422849513634,0.546875,False,False,-0.747905643738977
13,False,-0.2284405406678447,29.75,False,False,False,1.528364849833148,False,22.98041837751344,False,False,63.42446513843507,0.8477369635018085,0.8367620156250024,5.375,-21.006944444444436,-31.36216376410966,True,1,29.238095238095237,True,-0.0174917289375721,0.0980553739664304,0.69,3.8868421881310113,False,-1.6921296296296289,True,34.601851851851855,0.0,False,False,1.1781422849513634,0.546875,False,False,-0.747905643738977
14,False,-0.2284405406678447,29.75,False,False,False,1.528364849833148,False,22.98041837751344,False,False,63.42446513843507,0.8477369635018085,0.8367620156250024,5.375,-21.006944444444436,-31.36216376410966,True,1,29.238095238095237,True,-0.0174917289375721,0.0980553739664304,8.59,3.8868421881310113,False,-1.6921296296296289,True,34.601851851851855,0.0,False,False,1.1781422849513634,0.546875,False,False,-0.747905643738977
15,False,-0.2284405406678447,29.75,False,False,True,1.528364849833148,False,22.98041837751344,False,False,63.42446513843507,0.8477369635018085,0.8367620156250024,5.375,-21.006944444444436,-31.36216376410966,True,1,29.238095238095237,True,-0.0174917289375721,0.0980553739664304,0.69,3.8868421881310113,False,-1.6921296296296289,False,34.601851851851855,0.0,False,False,1.1781422849513634,0.546875,False,False,-0.747905643738977
16,False,-0.2284405406678447,29.75,False,False,True,1.528364849833148,False,22.98041837751344,False,False,63.42446513843507,0.8477369635018085,0.8367620156250024,5.375,-21.006944444444436,-31.36216376410966,True,1,29.238095238095237,True,-0.0174917289375721,0.0980553739664304,8.59,3.8868421881310113,False,-1.6921296296296289,False,34.601851851851855,0.0,False,False,1.1781422849513634,0.546875,False,False,-0.747905643738977
17,False,-0.2284405406678447,29.75,False,False,False,1.528364849833148,False,22.98041837751344,True,False,63.42446513843507,0.8477369635018085,0.8367620156250024,5.375,-21.006944444444436,-31.36216376410966,True,1,29.238095238095237,True,-0.0174917289375721,0.0980553739664304,0.69,3.8868421881310113,False,-1.6921296296296289,False,34.601851851851855,0.0,False,False,1.1781422849513634,0.546875,False,False,-0.747905643738977
18,False,-0.2284405406678447,29.75,False,False,False,1.528364849833148,False,22.98041837751344,True,False,63.42446513843507,0.8477369635018085,0.8367620156250024,5.375,-21.006944444444436,-31.36216376410966,True,1,29.238095238095237,True,-0.0174917289375721,0.0980553739664304,8.59,3.8868421881310113,False,-1.6921296296296289,False,34.601851851851855,0.0,False,False,1.1781422849513634,0.546875,False,False,-0.747905643738977
19,True,-0.2369167910611626,31.6,False,False,False,1.5259472817133446,False,29.28901143264356,False,False,68.85867377510682,0.8590085574712811,0.8104354500000023,5.5,-20.40444444444445,1.5620397282261025,True,1,32.61538461538461,True,-0.0179769841767483,0.0597564811350816,1.12,4.081727678869736,False,-0.1762962962962868,False,35.28148148148148,0.0,False,False,1.2017549757934374,-0.06,False,False,-0.0703893637226969
20,True,-0.2369167910611626,31.6,False,False,False,1.5259472817133446,False,29.28901143264356,False,False,68.85867377510682,0.8590085574712811,0.8104354500000023,5.5,-20.40444444444445,1.5620397282261025,True,1,32.61538461538461,True,-0.0179769841767483,0.0597564811350816,15.2,4.081727678869736,False,-0.1762962962962868,False,35.28148148148148,0.0,False,False,1.2017549757934374,-0.06,False,False,-0.0703893637226969
21,False,-0.2369167910611626,31.6,False,False,False,1.5259472817133446,False,29.28901143264356,False,True,68.85867377510682,0.8590085574712811,0.8104354500000023,5.5,-20.40444444444445,1.5620397282261025,True,1,32.61538461538461,True,-0.0179769841767483,0.0597564811350816,1.12,4.081727678869736,False,-0.1762962962962868,False,35.28148148148148,0.0,False,False,1.2017549757934374,-0.06,False,False,-0.0703893637226969
22,False,-0.2369167910611626,31.6,False,False,False,1.5259472817133446,False,29.28901143264356,False,True,68.85867377510682,0.8590085574712811,0.8104354500000023,5.5,-20.40444444444445,1.5620397282261025,True,1,32.61538461538461,True,-0.0179769841767483,0.0597564811350816,15.2,4.081727678869736,False,-0.1762962962962868,False,35.28148148148148,0.0,False,False,1.2017549757934374,-0.06,False,False,-0.0703893637226969
23,False,-0.2369167910611626,31.6,False,False,False,1.5259472817133446,False,29.28901143264356,False,False,68.85867377510682,0.8590085574712811,0.8104354500000023,5.5,-20.40444444444445,1.5620397282261025,True,1,32.61538461538461,True,-0.0179769841767483,0.0597564811350816,1.12,4.081727678869736,False,-0.1762962962962868,True,35.28148148148148,0.0,False,False,1.2017549757934374,-0.06,False,False,-0.0703893637226969
24,False,-0.2369167910611626,31.6,False,False,False,1.5259472817133446,False,29.28901143264356,False,False,68.85867377510682,0.8590085574712811,0.8104354500000023,5.5,-20.40444444444445,1.5620397282261025,True,1,32.61538461538461,True,-0.0179769841767483,0.0597564811350816,15.2,4.081727678869736,False,-0.1762962962962868,True,35.28148148148148,0.0,False,False,1.2017549757934374,-0.06,False,False,-0.0703893637226969
25,False,-0.2369167910611626,31.6,False,False,True,1.5259472817133446,False,29.28901143264356,False,False,68.85867377510682,0.8590085574712811,0.8104354500000023,5.5,-20.40444444444445,1.5620397282261025,True,1,32.61538461538461,True,-0.0179769841767483,0.0597564811350816,1.12,4.081727678869736,False,-0.1762962962962868,False,35.28148148148148,0.0,False,False,1.2017549757934374,-0.06,False,False,-0.0703893637226969
26,False,-0.2369167910611626,31.6,False,False,True,1.5259472817133446,False,29.28901143264356,False,False,68.85867377510682,0.8590085574712811,0.8104354500000023,5.5,-20.40444444444445,1.5620397282261025,True,1,32.61538461538461,True,-0.0179769841767483,0.0597564811350816,15.2,4.081727678869736,False,-0.1762962962962868,False,35.28148148148148,0.0,False,False,1.2017549757934374,-0.06,False,False,-0.0703893637226969
27,False,-0.2369167910611626,31.6,False,False,False,1.5259472817133446,False,29.28901143264356,True,False,68.85867377510682,0.8590085574712811,0.8104354500000023,5.5,-20.40444444444445,1.5620397282261025,True,1,32.61538461538461,True,-0.0179769841767483,0.0597564811350816,1.12,4.081727678869736,False,-0.1762962962962868,False,35.28148148148148,0.0,False,False,1.2017549757934374,-0.06,False,False,-0.0703893637226969
28,False,-0.2369167910611626,31.6,False,False,False,1.5259472817133446,False,29.28901143264356,True,False,68.85867377510682,0.8590085574712811,0.8104354500000023,5.5,-20.40444444444445,1.5620397282261025,True,1,32.61538461538461,True,-0.0179769841767483,0.0597564811350816,15.2,4.081727678869736,False,-0.1762962962962868,False,35.28148148148148,0.0,False,False,1.2017549757934374,-0.06,False,False,-0.0703893637226969
29,True,-0.1703316105466265,0.0,False,False,False,0.8898305084745761,False,12.912446215677749,False,False,46.32754752367285,0.8357523477324162,1.0992135510204089,4.785714285714286,-14.897959183673464,0.0,True,1,0.0,True,0.0027321547586434,0.5251086545729418,1.21,3.1820058147602133,False,-8.632653061224488,False,33.42857142857143,0.0,False,False,0.8389175257731959,0.0,False,False,0.0
32,False,-0.1703316105466265,0.0,False,False,False,0.8898305084745761,False,12.912446215677749,False,True,46.32754752367285,0.8357523477324162,1.0992135510204089,4.785714285714286,-14.897959183673464,0.0,True,1,0.0,True,0.0027321547586434,0.5251086545729418,6.71,3.1820058147602133,False,-8.632653061224488,False,33.42857142857143,0.0,False,False,0.8389175257731959,0.0,False,False,0.0
33,False,-0.1703316105466265,0.0,False,False,False,0.8898305084745761,False,12.912446215677749,False,False,46.32754752367285,0.8357523477324162,1.0992135510204089,4.785714285714286,-14.897959183673464,0.0,True,1,0.0,True,0.0027321547586434,0.5251086545729418,1.21,3.1820058147602133,False,-8.632653061224488,True,33.42857142857143,0.0,False,False,0.8389175257731959,0.0,False,False,0.0
36,False,-0.1703316105466265,0.0,False,False,True,0.8898305084745761,False,12.912446215677749,False,False,46.32754752367285,0.8357523477324162,1.0992135510204089,4.785714285714286,-14.897959183673464,0.0,True,1,0.0,True,0.0027321547586434,0.5251086545729418,6.71,3.1820058147602133,False,-8.632653061224488,False,33.42857142857143,0.0,False,False,0.8389175257731959,0.0,False,False,0.0
37,False,-0.1703316105466265,0.0,False,False,False,0.8898305084745761,False,12.912446215677749,True,False,46.32754752367285,0.8357523477324162,1.0992135510204089,4.785714285714286,-14.897959183673464,0.0,True,1,0.0,True,0.0027321547586434,0.5251086545729418,1.21,3.1820058147602133,False,-8.632653061224488,False,33.42857142857143,0.0,False,False,0.8389175257731959,0.0,False,False,0.0
39,True,-0.2118421575419107,0.0,False,False,False,0.9653465346534654,False,19.221047881591662,False,False,55.749208271663726,0.8524398460347834,1.023746560000002,5.15,-15.760000000000009,-10.194281899143974,True,1,25.666666666666668,True,0.0331118489653178,0.1475578703703701,1.22,3.684183719779188,False,-0.4799999999999976,False,34.8,0.0,False,False,0.9375,0.7225000000000001,False,False,-0.8400000000000004
40,True,-0.2118421575419107,0.0,False,False,False,0.9653465346534654,False,19.221047881591662,False,False,55.749208271663726,0.8524398460347834,1.023746560000002,5.15,-15.760000000000009,-10.194281899143974,True,1,25.666666666666668,True,0.0331118489653178,0.1475578703703701,7.02,3.684183719779188,False,-0.4799999999999976,False,34.8,0.0,False,False,0.9375,0.7225000000000001,False,False,-0.8400000000000004
41,False,-0.2118421575419107,0.0,False,False,False,0.9653465346534654,False,19.221047881591662,False,True,55.749208271663726,0.8524398460347834,1.023746560000002,5.15,-15.760000000000009,-10.194281899143974,True,1,25.666666666666668,True,0.0331118489653178,0.1475578703703701,1.22,3.684183719779188,False,-0.4799999999999976,False,34.8,0.0,False,False,0.9375,0.7225000000000001,False,False,-0.8400000000000004
42,False,-0.2118421575419107,0.0,False,False,False,0.9653465346534654,False,19.221047881591662,False,True,55.749208271663726,0.8524398460347834,1.023746560000002,5.15,-15.760000000000009,-10.194281899143974,True,1,25.666666666666668,True,0.0331118489653178,0.1475578703703701,7.02,3.684183719779188,False,-0.4799999999999976,False,34.8,0.0,False,False,0.9375,0.7225000000000001,False,False,-0.8400000000000004
43,False,-0.2118421575419107,0.0,False,False,False,0.9653465346534654,False,19.221047881591662,False,False,55.749208271663726,0.8524398460347834,1.023746560000002,5.15,-15.760000000000009,-10.194281899143974,True,1,25.666666666666668,True,0.0331118489653178,0.1475578703703701,1.22,3.684183719779188,False,-0.4799999999999976,True,34.8,0.0,False,False,0.9375,0.7225000000000001,False,False,-0.8400000000000004
44,False,-0.2118421575419107,0.0,False,False,False,0.9653465346534654,False,19.221047881591662,False,False,55.749208271663726,0.8524398460347834,1.023746560000002,5.15,-15.760000000000009,-10.194281899143974,True,1,25.666666666666668,True,0.0331118489653178,0.1475578703703701,7.02,3.684183719779188,False,-0.4799999999999976,True,34.8,0.0,False,False,0.9375,0.7225000000000001,False,False,-0.8400000000000004
45,False,-0.2118421575419107,0.0,False,False,True,0.9653465346534654,False,19.221047881591662,False,False,55.749208271663726,0.8524398460347834,1.023746560000002,5.15,-15.760000000000009,-10.194281899143974,True,1,25.666666666666668,True,0.0331118489653178,0.1475578703703701,1.22,3.684183719779188,False,-0.4799999999999976,False,34.8,0.0,False,False,0.9375,0.7225000000000001,False,False,-0.8400000000000004
46,False,-0.2118421575419107,0.0,False,False,True,0.9653465346534654,False,19.221047881591662,False,False,55.749208271663726,0.8524398460347834,1.023746560000002,5.15,-15.760000000000009,-10.194281899143974,True,1,25.666666666666668,True,0.0331118489653178,0.1475578703703701,7.02,3.684183719779188,False,-0.4799999999999976,False,34.8,0.0,False,False,0.9375,0.7225000000000001,False,False,-0.8400000000000004
47,False,-0.2118421575419107,0.0,False,False,False,0.9653465346534654,False,19.221047881591662,True,False,55.749208271663726,0.8524398460347834,1.023746560000002,5.15,-15.760000000000009,-10.194281899143974,True,1,25.666666666666668,True,0.0331118489653178,0.1475578703703701,1.22,3.684183719779188,False,-0.4799999999999976,False,34.8,0.0,False,False,0.9375,0.7225000000000001,False,False,-0.8400000000000004
48,False,-0.2118421575419107,0.0,False,False,False,0.9653465346534654,False,19.221047881591662,True,False,55.749208271663726,0.8524398460347834,1.023746560000002,5.15,-15.760000000000009,-10.194281899143974,True,1,25.666666666666668,True,0.0331118489653178,0.1475578703703701,7.02,3.684183719779188,False,-0.4799999999999976,False,34.8,0.0,False,False,0.9375,0.7225000000000001,False,False,-0.8400000000000004
49,True,-0.2272174214524598,32.0,False,False,False,1.026315789473684,False,25.529641001596413,False,False,62.61436610331814,0.8629024540840061,0.9733865562130164,5.346153846153846,-16.248520710059164,2.1821454120015784,True,1,33.333333333333336,True,0.0323698870675225,0.0807674044853524,0.86,4.056020968057882,False,0.5680473372781019,False,35.53846153846154,0.0,False,False,1.0117924528301885,0.0453648915187376,False,False,-0.0420775805391189
52,False,-0.2272174214524598,32.0,False,False,False,1.026315789473684,False,25.529641001596413,False,True,62.61436610331814,0.8629024540840061,0.9733865562130164,5.346153846153846,-16.248520710059164,2.1821454120015784,True,1,33.333333333333336,True,0.0323698870675225,0.0807674044853524,6.64,4.056020968057882,False,0.5680473372781019,False,35.53846153846154,0.0,False,False,1.0117924528301885,0.0453648915187376,False,False,-0.0420775805391189
54,False,-0.2272174214524598,32.0,False,False,False,1.026315789473684,False,25.529641001596413,False,False,62.61436610331814,0.8629024540840061,0.9733865562130164,5.346153846153846,-16.248520710059164,2.1821454120015784,True,1,33.333333333333336,True,0.0323698870675225,0.0807674044853524,6.64,4.056020968057882,False,0.5680473372781019,True,35.53846153846154,0.0,False,False,1.0117924528301885,0.0453648915187376,False,False,-0.0420775805391189
56,False,-0.2272174214524598,32.0,False,False,True,1.026315789473684,False,25.529641001596413,False,False,62.61436610331814,0.8629024540840061,0.9733865562130164,5.346153846153846,-16.248520710059164,2.1821454120015784,True,1,33.333333333333336,True,0.0323698870675225,0.0807674044853524,6.64,4.056020968057882,False,0.5680473372781019,False,35.53846153846154,0.0,False,False,1.0117924528301885,0.0453648915187376,False,False,-0.0420775805391189
58,False,-0.2272174214524598,32.0,False,False,False,1.026315789473684,False,25.529641001596413,True,False,62.61436610331814,0.8629024540840061,0.9733865562130164,5.346153846153846,-16.248520710059164,2.1821454120015784,True,1,33.333333333333336,True,0.0323698870675225,0.0807674044853524,6.64,4.056020968057882,False,0.5680473372781019,False,35.53846153846154,0.0,False,False,1.0117924528301885,0.0453648915187376,False,False,-0.0420775805391189
60,True,-0.2315171168504216,33.333333333333336,False,False,False,1.0521769177608844,False,28.683937525686815,False,False,65.45319812495677,0.8668746832595814,0.9544427776456617,5.413793103448276,-16.420927467300814,2.398160254058329,True,1,34.0,True,0.032342877774342,0.0634181404098172,3.63,4.073329701949522,False,0.7990487514863187,False,35.793103448275865,0.0,False,False,1.0422230950510605,-0.0697582243361078,False,False,-0.01585414189457
61,False,-0.2315171168504216,33.333333333333336,False,False,False,1.0521769177608844,False,28.683937525686815,False,True,65.45319812495677,0.8668746832595814,0.9544427776456617,5.413793103448276,-16.420927467300814,2.398160254058329,True,1,34.0,True,0.032342877774342,0.0634181404098172,0.69,4.073329701949522,False,0.7990487514863187,False,35.793103448275865,0.0,False,False,1.0422230950510605,-0.0697582243361078,False,False,-0.01585414189457
