PFAS_name,CAS number,Smiles,Molecular weight (g/mol),half-life (days),±SD,tissue,species,sex,Log P,Log Kow,Log D (pH = 7.4),route of administration,mode of administration,sampling duration (days),subject/animal weight (g),age (years),adult,reference,doi,
PFBS,375-73-5,C(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)(F)F,300.10 ,26,,whole body,human,male/female,1.94,1.82,-1.56,,,,,,,"Arnot et al., 2014",https://doi.org/10.1021/es4029414,
PFHxA,307-24-4,C(=O)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)O,314.05,20,,whole body,human,male/female,3.9,3.48,0.15,,,,,,,"Arnot et al., 2014",https://doi.org/10.1021/es4029414,
PFHxS,355-46-4,C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,400.12,2660,,whole body,human,male/female,2.96,3.16,-0.54,,,,,,,"Arnot et al., 2014",https://doi.org/10.1021/es4029414,
PFOA,335-67-1,C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,414.07,1980,,whole body,Human,male/female,5.57,4.81,1.82,,,,,,,"Arnot et al., 2014",https://doi.org/10.1021/es4029414,
PFOS ,1763-23-1,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,500.13,1750,,whole body,Human,male/female,4.16,4.49,0.66,,,,,,,"Arnot et al., 2014",https://doi.org/10.1021/es4029414,
PFOA,335-67-1,C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,414.07,20.1,,blood serum,Monkey,male,5.57,4.81,1.82,oral,repeated,182 d dosing period (daily),,6,TRUE,"Butenhoff et al., 2004",https://doi.org/10.1093/toxsci/kfh302,
PFOA,335-67-1,C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,414.07,32.6,,blood serum,Monkey,female,5.57,4.81,1.82,intravenous,single,123 d follow-up,,6,TRUE,"Butenhoff et al., 2004",https://doi.org/10.1093/toxsci/kfh302,
PFOA,335-67-1,C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,414.07,20.9,,blood serum,Monkey,male,5.57,4.81,1.82,intravenous,single,123 d follow-up,,6,TRUE,"Butenhoff et al., 2004",https://doi.org/10.1093/toxsci/kfh302,
PFBA,375-22-4,C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O,214.04,2.9,,blood serum,human,male,2.62,2.14,-1.13,occupational,continuous,8 d (not exposed to materials during that time) ,,,TRUE,"Chang et al., 2008",https://doi.org/10.1093/toxsci/kfn057,
PFBA,375-22-4,C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O,214.04,3,,blood serum,human,male/female,2.62,2.14,-1.13,occupational,continuous,8 d (not exposed to materials during that time) ,,,TRUE,"Chang et al., 2008",https://doi.org/10.1093/toxsci/kfn057,
PFBA,375-22-4,C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O,214.04,1.71,,blood serum,monkey,female,2.62,2.14,-1.13,intravenous,single,31,5000,2.75,FALSE,"Chang et al., 2008",https://doi.org/10.1093/toxsci/kfn057,
PFBA,375-22-4,C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O,214.04,1.68,,blood serum,monkey,male,2.62,2.14,-1.13,intravenous,single,31,5000,2.75,FALSE,"Chang et al., 2008",https://doi.org/10.1093/toxsci/kfn057,
PFBA,375-22-4,C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O,214.04,0.55,,blood serum,mouse,male,2.62,2.14,-1.13,oral,single,4,27.5,0.1726027397,TRUE,"Chang et al., 2008",https://doi.org/10.1093/toxsci/kfn057,
PFBA,375-22-4,C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O,214.04,0.68,,blood serum,mouse,male,2.62,2.14,-1.13,oral,single,4,27.5,0.1726027397,TRUE,"Chang et al., 2008",https://doi.org/10.1093/toxsci/kfn057,
PFBA,375-22-4,C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O,214.04,0.22,,blood serum,mouse,male,2.62,2.14,-1.13,oral,single,4,27.5,0.1726027397,TRUE,"Chang et al., 2008",https://doi.org/10.1093/toxsci/kfn057,
PFBA,375-22-4,C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O,214.04,0.12,,blood serum,mouse,female,2.62,2.14,-1.13,oral,single,4,27.5,0.1726027397,TRUE,"Chang et al., 2008",https://doi.org/10.1093/toxsci/kfn057,
PFBA,375-22-4,C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O,214.04,0.13,,blood serum,mouse,female,2.62,2.14,-1.13,oral,single,4,27.5,0.1726027397,TRUE,"Chang et al., 2008",https://doi.org/10.1093/toxsci/kfn057,
PFBA,375-22-4,C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O,214.04,0.12,,blood serum,mouse,female,2.62,2.14,-1.13,oral,single,4,27.5,0.1726027397,TRUE,"Chang et al., 2008",https://doi.org/10.1093/toxsci/kfn057,
PFBA,375-22-4,C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O,214.04,0.38,,blood serum,rat,male,2.62,2.14,-1.13,oral,single,1,225,0.1726027397,TRUE,"Chang et al., 2008",https://doi.org/10.1093/toxsci/kfn057,
PFBA,375-22-4,C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O,214.04,0.266,,blood serum,rat,male,2.62,2.14,-1.13,intravenous,single,1,225,0.1726027397,TRUE,"Chang et al., 2008",https://doi.org/10.1093/toxsci/kfn057,
PFBA,375-22-4,C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O,214.04,0.07,,blood serum,rat,female,2.62,2.14,-1.13,oral,single,1,225,0.1726027397,TRUE,"Chang et al., 2008",https://doi.org/10.1093/toxsci/kfn057,
PFBA,375-22-4,C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O,214.04,0.04,,blood serum,rat,female,2.62,2.14,-1.13,intravenous,single,1,225,0.1726027397,TRUE,"Chang et al., 2008",https://doi.org/10.1093/toxsci/kfn057,
PFOS ,1763-23-1,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,500.13,110,,blood serum,Monkey,female,4.16,4.49,0.66,intravenous,single,161 d follow-up,,,FALSE,"Chang et al., 2012",https://doi.org/10.1016/j.reprotox.2011.07.002,
PFOS ,1763-23-1,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,500.13,132,,blood serum,Monkey,male,4.16,4.49,0.66,intravenous,single,161 d follow-up,,,FALSE,"Chang et al., 2012",https://doi.org/10.1016/j.reprotox.2011.07.002,
PFOS ,1763-23-1,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,500.13,30.45,,blood serum,Mouse,female,4.16,4.49,0.66,oral,single,141 d follow-up,,0.1726027397,TRUE,"Chang et al., 2012",https://doi.org/10.1016/j.reprotox.2011.07.002,
PFOS ,1763-23-1,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,500.13,37.8,,blood serum,Mouse,female,4.16,4.49,0.66,oral,single,141 d follow-up,,0.1726027397,TRUE,"Chang et al., 2012",https://doi.org/10.1016/j.reprotox.2011.07.002,
PFOS ,1763-23-1,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,500.13,36.42,,blood serum,Mouse,male,4.16,4.49,0.66,oral,single,141 d follow-up,,0.1726027397,TRUE,"Chang et al., 2012",https://doi.org/10.1016/j.reprotox.2011.07.002,
PFOS ,1763-23-1,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,500.13,42.81,,blood serum,Mouse,male,4.16,4.49,0.66,oral,single,141 d follow-up,,0.1726027397,TRUE,"Chang et al., 2012",https://doi.org/10.1016/j.reprotox.2011.07.002,
PFOS ,1763-23-1,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,500.13,71.13,,blood serum,Rat,female,4.16,4.49,0.66,oral,single,10-12 weeks follow-up,,,TRUE,"Chang et al., 2012",https://doi.org/10.1016/j.reprotox.2011.07.002,
PFOS ,1763-23-1,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,500.13,62.3,,blood serum,Rat,female,4.16,4.49,0.66,oral,single,10-12 weeks follow-up,,,TRUE,"Chang et al., 2012",https://doi.org/10.1016/j.reprotox.2011.07.002,
PFOS ,1763-23-1,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,500.13,41.19,,blood serum,Rat,male,4.16,4.49,0.66,oral,single,10-12 weeks follow-up,,,TRUE,"Chang et al., 2012",https://doi.org/10.1016/j.reprotox.2011.07.002,
PFOS ,1763-23-1,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,500.13,38.31,,blood serum,Rat,male,4.16,4.49,0.66,oral,single,10-12 weeks follow-up,,,TRUE,"Chang et al., 2012",https://doi.org/10.1016/j.reprotox.2011.07.002,
PFOS ,1763-23-1,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,500.13,8.23,,blood serum,Rat,male,4.16,4.49,0.66,oral,single,144 h follow-up,,,TRUE,"Chang et al., 2012",https://doi.org/10.1016/j.reprotox.2011.07.002,
PFBS,375-73-5,C(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)(F)F,300.10 ,0.34,,blood serum,monkey,female,1.94,1.82,-1.56,intravenous,single,7,2600,3,TRUE,"Chengelis et al., 2009",https://doi.org/10.1016/j.reprotox.2009.01.013,
PFBS,375-73-5,C(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)(F)F,300.10 ,0.63,,blood serum,monkey,male,1.94,1.82,-1.56,intravenous,single,7,2600,3,TRUE,"Chengelis et al., 2009",https://doi.org/10.1016/j.reprotox.2009.01.013,
PFHxA,307-24-4,C(=O)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)O,314.05,0.22,,blood serum,monkey,male,3.9,3.48,0.15,intravenous,single,7 d follow-up,,3,TRUE,"Chengelis et al., 2009",https://doi.org/10.1016/j.reprotox.2009.01.013,
PFHxA,307-24-4,C(=O)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)O,314.05,0.1,,blood serum,monkey,female,3.9,3.48,0.15,intravenous,single,7 d follow-up,,3,TRUE,"Chengelis et al., 2009",https://doi.org/10.1016/j.reprotox.2009.01.013,
PFBS,375-73-5,C(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)(F)F,300.10 ,0.088,,blood serum,rat,male,1.94,1.82,-1.56,intravenous,single,8,225,0.1342465753,TRUE,"Chengelis et al., 2009",https://doi.org/10.1016/j.reprotox.2009.01.013,
PFBS,375-73-5,C(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)(F)F,300.10 ,0.026,,blood serum,rat,female,1.94,1.82,-1.56,intravenous,single,8,225,0.1342465753,TRUE,"Chengelis et al., 2009",https://doi.org/10.1016/j.reprotox.2009.01.013,
PFHxA,307-24-4,C(=O)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)O,314.05,0.12,,blood serum,rat,male,3.9,3.48,0.15,oral,repeated,25 d follow-up,,0.1917808219,TRUE,"Chengelis et al., 2009",https://doi.org/10.1016/j.reprotox.2009.01.013,ok
PFHxA,307-24-4,C(=O)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)O,314.05,0.11,,blood serum,rat,female,3.9,3.48,0.15,oral,repeated,25 d follow-up,,0.1917808219,TRUE,"Chengelis et al., 2009",https://doi.org/10.1016/j.reprotox.2009.01.013,ok
PFHxA,307-24-4,C(=O)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)O,314.05,0.11,,blood serum,rat,male,3.9,3.48,0.15,oral,repeated,25 d follow-up,,0.1917808219,TRUE,"Chengelis et al., 2009",https://doi.org/10.1016/j.reprotox.2009.01.013,ok
PFHxA,307-24-4,C(=O)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)O,314.05,0.1,,blood serum,rat,female,3.9,3.48,0.15,oral,repeated,25 d follow-up,,0.1917808219,TRUE,"Chengelis et al., 2009",https://doi.org/10.1016/j.reprotox.2009.01.013,ok
PFHxA,307-24-4,C(=O)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)O,314.05,0.096,,blood serum,rat,female,3.9,3.48,0.15,oral,repeated,25 d blood collected,,0.1917808219,TRUE,"Chengelis et al., 2009",https://doi.org/10.1016/j.reprotox.2009.01.013,ok
PFHxA,307-24-4,C(=O)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)O,314.05,0.09,,blood serum,rat,male,3.9,3.48,0.15,oral,repeated,25 d follow-up,,0.1917808219,TRUE,"Chengelis et al., 2009",https://doi.org/10.1016/j.reprotox.2009.01.013,ok
PFHxA,307-24-4,C(=O)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)O,314.05,0.04,,blood serum,rat,male,3.9,3.48,0.15,intravenous,single,8 d follow-up,,0.1342465753,TRUE,"Chengelis et al., 2009",https://doi.org/10.1016/j.reprotox.2009.01.013,
PFHxA,307-24-4,C(=O)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)O,314.05,0.018,,blood serum,rat,female,3.9,3.48,0.15,intravenous,single,8 d follow-up,,0.1342465753,TRUE,"Chengelis et al., 2009",https://doi.org/10.1016/j.reprotox.2009.01.013,
di-branched-PFOS,,,500.13,34.1,4.3,serum,cattle,female,,,,pollution,continuous,215,557,1.7,FALSE,"Drew et al., 2021",https://doi.org/10.1080/19440049.2021.1991004,
di-branched-PFOS,,,500.13,29.9,5.5,serum,cattle,female,,,,pollution,continuous,63,454,1.7,FALSE,"Drew et al., 2021",https://doi.org/10.1080/19440049.2021.1991004,
di-branched-PFOS,,,500.13,28,5.5,serum,cattle,female,,,,pollution,continuous,63,454,1.7,FALSE,"Drew et al., 2021",https://doi.org/10.1080/19440049.2021.1991004,
mono branched-PFOS,927670-12-0,C(C(C(C(C(F)(F)F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,500.13,85.6,10.6,serum,cattle,female,,,,pollution,continuous,215,557,1.7,FALSE,"Drew et al., 2021",https://doi.org/10.1080/19440049.2021.1991004,
mono branched-PFOS,927670-12-0,C(C(C(C(C(F)(F)F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,500.13,95.8,29.4,serum,cattle,female,,,,pollution,continuous,63,454,1.7,FALSE,"Drew et al., 2021",https://doi.org/10.1080/19440049.2021.1991004,
mono branched-PFOS,927670-12-0,C(C(C(C(C(F)(F)F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,500.13,82.5,22.5,serum,cattle,female,,,,pollution,continuous,63,454,1.7,FALSE,"Drew et al., 2021",https://doi.org/10.1080/19440049.2021.1991004,
mono branched-PFOS,927670-12-0,C(C(C(C(C(F)(F)F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,500.13,83.6,18.7,serum,cattle,female,,,,pollution,continuous,215,557,1.7,FALSE,"Drew et al., 2021",https://doi.org/10.1080/19440049.2021.1991004,
PFDA,335-76-1,C(=O)(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,514.08,60.4,10.4,serum,cattle,female,,,,pollution,continuous,215,557,1.7,FALSE,"Drew et al., 2021",https://doi.org/10.1080/19440049.2021.1991004,
PFHpS,375-92-8,C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F,450.12,46,7,serum,cattle,female,,,,pollution,continuous,215,557,1.7,FALSE,"Drew et al., 2021",https://doi.org/10.1080/19440049.2021.1991004,
PFHpS,375-92-8,C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F,450.12,48.5,11.4,serum,cattle,female,,,,pollution,continuous,63,454,1.7,FALSE,"Drew et al., 2021",https://doi.org/10.1080/19440049.2021.1991004,
PFHpS,375-92-8,C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F,450.12,45.5,10.6,serum,cattle,female,,,,pollution,continuous,63,454,1.7,FALSE,"Drew et al., 2021",https://doi.org/10.1080/19440049.2021.1991004,
PFHpS,375-92-8,C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F,450.12,43,,kidney,cattle,female,,,,pollution,continuous,215,557,1.7,FALSE,"Drew et al., 2021",https://doi.org/10.1080/19440049.2021.1991004,
PFHpS,375-92-8,C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F,450.12,50,,liver,cattle,female,,,,pollution,continuous,215,557,1.7,FALSE,"Drew et al., 2021",https://doi.org/10.1080/19440049.2021.1991004,
PFHxS,355-46-4,C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,400.12,9.4,1.2,serum,cattle,female,,,,pollution,continuous,215,557,1.7,FALSE,"Drew et al., 2021",https://doi.org/10.1080/19440049.2021.1991004,
PFHxS,355-46-4,C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,400.12,9.1,1.3,serum,cattle,female,,,,pollution,continuous,63,454,1.7,FALSE,"Drew et al., 2021",https://doi.org/10.1080/19440049.2021.1991004,
PFHxS,355-46-4,C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,400.12,9.3,1.4,serum,cattle,female,,,,pollution,continuous,63,454,1.7,FALSE,"Drew et al., 2021",https://doi.org/10.1080/19440049.2021.1991004,
PFNA,375-95-1,C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,464.08,11.9,2.7,serum,Cattle,female,,,,pollution,continuous,215,557,1.7,FALSE,"Drew et al., 2021",https://doi.org/10.1080/19440049.2021.1991004,
PFNA,375-95-1,C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,464.08,12.4,1.2,serum,Cattle,female,,,,pollution,continuous,63,454,1.7,FALSE,"Drew et al., 2021",https://doi.org/10.1080/19440049.2021.1991004,
PFNA,375-95-1,C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,464.08,12.5,18.7,serum,Cattle,female,,,,pollution,continuous,63,454,1.7,FALSE,"Drew et al., 2021",https://doi.org/10.1080/19440049.2021.1991004,
PFOS,1763-23-1,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,500.13,67.3,7.3,serum,Cattle,female,,,,pollution,continuous,215,557,1.7,FALSE,"Drew et al., 2021",https://doi.org/10.1080/19440049.2021.1991004,
PFOS,1763-23-1,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,500.13,103,45.5,serum,Cattle,female,,,,pollution,continuous,63,454,1.7,FALSE,"Drew et al., 2021",https://doi.org/10.1080/19440049.2021.1991004,
PFOS,1763-23-1,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,500.13,70.5,13.5,serum,Cattle,female,,,,pollution,continuous,63,454,1.7,FALSE,"Drew et al., 2021",https://doi.org/10.1080/19440049.2021.1991004,
PFOS,1763-23-1,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,500.13,69.4,11.6,serum,Cattle,female,,,,pollution,continuous,215,557,1.7,FALSE,"Drew et al., 2021",https://doi.org/10.1080/19440049.2021.1991004,
PFHpA,375-85-9,C(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,364.06,98,,blood (whole),human,male/female,4.86,4.15,1.11,occupational,continuous,"1 year (preseason, season and postseason samples)",,39,TRUE,"ECHA (2015) Decision on substance evaluation pursuant to Article 46(1) of regulation (EC) NO 1907/2006 for reaction mass of mixed (3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl) phosphates, ammonium salt, CAS not available (EC No 700-161-3). Original study: Nilsson H, Kärrman  A, Westberg H, Rotander A, van Bavel B & Lindström G (2010) A time trend study of significantly elevated perfluorocarboxylate levels in humans after using fluorinated ski wax. Environ Sci Technol 44, 2150-2155.",,
PFHxS,355-46-4,C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,400.12,7263.5,3.9,"serum,urine",human,male,,,,occupational,continuous,1825,,,TRUE,"Fu et al., 2016",https://doi.org/10.1038/srep38039  ,
PFHxS,355-46-4,C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,400.12,2558.5,1.4,"serum,urine",human,female,,,,occupational,continuous,1825,,,TRUE,"Fu et al., 2016",https://doi.org/10.1038/srep38039  ,
PFOA,335-67-1,C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,414.07,1715.5,3,"serum,urine",Human,male,,,,occupational,continuous,5,,,TRUE,"Fu et al., 2016",https://doi.org/10.1038/srep38039,
PFOA,335-67-1,C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,414.07,1131.5,2.2,"serum,urine",Human,female,,,,occupational,continuous,5,,,TRUE,"Fu et al., 2016",https://doi.org/10.1038/srep38039,
